Common Name,Scientific Name,Taxonomic Order,State/Province,County,Location,Date,Time,Masked_Latitude,Masked_Longitude,SPECIES_CODE,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,ORDER_GROUP,MACAULAY_LINK
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Backyard,2024-04-01,11:49 AM,30.328305572633763,-97.73325319775208,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Blue Jay,Cyanocitta cristata,21066,US-TX,Travis,Neighborhood Walk,2025-06-16,08:03 PM,30.32930505548375,-97.73452291655428,blujay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/192103831
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,21085,US-TX,Travis,Pace Bend Park,2025-05-31,09:29 AM,30.45126982152747,-98.02892466208586,wooscj2,Aphelocoma woodhouseii,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/114160231
American Crow,Corvus brachyrhynchos,21333,US-OH,Hamilton,Norwood,2024-03-16,08:32 AM,39.15074618968343,-84.45828120050358,amecro,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/286868001
American Crow,Corvus brachyrhynchos,21333,US-OH,Hamilton,Norwood,2024-05-15,08:15 AM,39.15363008293192,-84.45072751936065,amecro,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)","Jays, Magpies, Crows, and Ravens",Perching birds,https://macaulaylibrary.org/asset/286868001
Carolina Chickadee,Poecile carolinensis,21836,US-TX,Travis,Work,2025-06-11,08:46 AM,30.43352363750798,-97.75108333223284,carchi,Poecile carolinensis,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)","Tits, Chickadees, and Titmice",Perching birds,https://macaulaylibrary.org/asset/192104021
Purple Martin,Progne subis,23851,US-TX,Travis,Neighborhood Walk,2024-04-17,05:07 AM,30.33205169045989,-97.73816394985236,purmar,Progne subis,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,Perching birds,https://macaulaylibrary.org/asset/451871281
Purple Martin,Progne subis,23851,US-TX,Travis,Backyard,2024-03-22,09:12 AM,30.321253584889007,-97.73312053206853,purmar,Progne subis,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,Perching birds,https://macaulaylibrary.org/asset/451871281
Barn Swallow,Hirundo rustica,23957,US-TX,Travis,Neighborhood Walk,2024-10-17,10:41 AM,30.329932006265075,-97.73729037356948,barswa,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),Martins and Swallows,Perching birds,https://macaulaylibrary.org/asset/240894841
Ruby-crowned Kinglet,Corthylio calendula,26595,US-TX,Travis,Zilker Park,2024-03-23,01:34 PM,30.265043142633004,-97.77238844676116,ruckin,Corthylio calendula,Passeriformes,Regulidae (Kinglets),Kinglets,Perching birds,https://macaulaylibrary.org/asset/389954851
Ruby-crowned Kinglet,Corthylio calendula,26595,US-TX,Travis,Zilker Park,2024-03-23,01:38 PM,30.266619043687616,-97.76970468439622,ruckin,Corthylio calendula,Passeriformes,Regulidae (Kinglets),Kinglets,Perching birds,https://macaulaylibrary.org/asset/389954851
Carolina Wren,Thryothorus ludovicianus,27107,US-OH,Hamilton,Norwood,2024-03-16,09:25 AM,39.15406838439228,-84.45338437432557,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Carolina Wren,Thryothorus ludovicianus,27107,US-OH,Hamilton,Norwood,2024-03-16,09:28 AM,39.15056899014287,-84.45505608553266,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Carolina Wren,Thryothorus ludovicianus,27107,US-TX,Travis,Neighborhood Walk,2024-12-14,12:19 PM,30.333023776261584,-97.73549050991691,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Carolina Wren,Thryothorus ludovicianus,27107,US-TX,Travis,Pace Bend Park,2024-10-12,12:11 PM,30.451606604028758,-98.02212146537948,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Carolina Wren,Thryothorus ludovicianus,27107,US-TX,Travis,Backyard,2024-03-07,03:26 PM,30.3237881675297,-97.7358965738524,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Carolina Wren,Thryothorus ludovicianus,27107,US-TX,Travis,Backyard,2024-03-07,03:49 PM,30.322944617931952,-97.73340331319972,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Carolina Wren,Thryothorus ludovicianus,27107,US-TX,Travis,Work,2024-09-17,10:05 AM,30.42950760107696,-97.74374449670309,carwre,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/145828451
Bewick's Wren,Thryomanes bewickii,27121,US-TX,Travis,Neighborhood Walk,2024-10-17,10:41 AM,30.32792755462696,-97.73449856248614,bewwre,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/626313205
Bewick's Wren,Thryomanes bewickii,27121,US-TX,Travis,Pace Bend Park,2025-05-31,11:07 AM,30.4500351142439,-98.02945156206704,bewwre,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/626313205
Bewick's Wren,Thryomanes bewickii,27121,US-TX,Travis,Work,2025-06-11,08:46 AM,30.429936264397558,-97.74244702174012,bewwre,Thryomanes bewickii,Passeriformes,Troglodytidae (Wrens),Wrens,Perching birds,https://macaulaylibrary.org/asset/626313205
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,08:26 AM,39.15608673425579,-84.45411715103789,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,08:32 AM,39.15699888514327,-84.45343129335906,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,09:28 AM,39.15433166267059,-84.454079550634,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,01:29 PM,39.15058233268999,-84.45101019459526,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,01:35 PM,39.14953613173555,-84.45069916749348,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,01:43 PM,39.15857686793288,-84.45371918410105,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,01:43 PM,39.15808861335134,-84.45834107157444,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
European Starling,Sturnus vulgaris,27571,US-OH,Hamilton,Norwood,2024-03-16,05:24 PM,39.15526879009072,-84.4552653845606,eursta,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),Starlings and Mynas,Perching birds,https://macaulaylibrary.org/asset/92717961
