Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S250915266,Northern Mockingbird,Mimus polyglottos,27870,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,09:25 AM,eBird - Casual Observation,,0,,,1
S250908902,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-09-24,12:17 PM,eBird - Casual Observation,,0,,,1
S250908801,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2024-10-12,12:11 PM,eBird - Casual Observation,,0,,,1
S250908578,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2024-10-12,12:15 PM,eBird - Casual Observation,,0,,,1
S250908374,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2024-10-12,04:23 PM,eBird - Casual Observation,,0,,,1
S250906549,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-03-29,12:08 PM,eBird - Casual Observation,,0,,,1
S250904615,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,09:29 AM,eBird - Casual Observation,,0,,,1
S250904529,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,09:34 AM,eBird - Casual Observation,,0,,,1
S250904445,Northern Mockingbird,Mimus polyglottos,27870,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,11:07 AM,eBird - Casual Observation,,0,,,1
S250914886,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,09:28 AM,eBird - Casual Observation,,0,,,1
S250914664,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:29 PM,eBird - Casual Observation,,0,,,1
S250913935,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,01:43 PM,eBird - Casual Observation,,0,,,1
S250910146,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-13,01:35 PM,eBird - Casual Observation,,0,,,1
S250910058,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-15,08:15 AM,eBird - Casual Observation,,0,,,1
S250909579,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-19,08:43 AM,eBird - Casual Observation,,0,,,1
S250909327,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-19,06:10 PM,eBird - Casual Observation,,0,,,1
S250909195,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-20,08:50 AM,eBird - Casual Observation,,0,,,1
S250907397,American Robin,Turdus migratorius,28313,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-12-23,08:22 AM,eBird - Casual Observation,,0,,,1
S253493842,American Robin,Turdus migratorius,28313,X,US-MN,Hennepin,L48323659,Loring Park,44.968463,-93.28313,2025-06-20,12:37 PM,eBird - Casual Observation,,0,,,1
S250910397,American Robin,Turdus migratorius,28313,X,US-TN,Knox,L47748452,University Of Tennessee,35.957996,-83.926885,2024-05-10,01:39 PM,eBird - Casual Observation,,0,,,1
S250912092,American Robin,Turdus migratorius,28313,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:21 AM,eBird - Casual Observation,,0,,,1
S250915003,Cedar Waxwing,Bombycilla cedrorum,29618,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,09:28 AM,eBird - Casual Observation,,0,,,1
